country,alpha3_lower,continent,time,lifeExp,pop,gdpPercap
Argentina,arg,Amerika,1800-01-01,33.2,534000,NA
Argentina,arg,Amerika,1805-01-01,33.2,465622,NA
Argentina,arg,Amerika,1810-01-01,33.2,419661,NA
Argentina,arg,Amerika,1815-01-01,33.2,465972,NA
Argentina,arg,Amerika,1820-01-01,33.2,530996,NA
Argentina,arg,Amerika,1825-01-01,33.2,582027,NA
Argentina,arg,Amerika,1830-01-01,33.2,634974,NA
Argentina,arg,Amerika,1835-01-01,33.2,698047,NA
Argentina,arg,Amerika,1840-01-01,33.2,776366,NA
Argentina,arg,Amerika,1845-01-01,33.2,920317,NA
Argentina,arg,Amerika,1850-01-01,33.2,1088372,NA
Argentina,arg,Amerika,1855-01-01,33.2,1197431,NA
Argentina,arg,Amerika,1860-01-01,33.2,1315328,NA
Argentina,arg,Amerika,1865-01-01,33.2,1529696,NA
Argentina,arg,Amerika,1870-01-01,33.2,1793839,NA
Argentina,arg,Amerika,1875-01-01,33.26,2099952,NA
Argentina,arg,Amerika,1880-01-01,33.23,2457663,NA
Argentina,arg,Amerika,1885-01-01,32.79,2876307,NA
Argentina,arg,Amerika,1890-01-01,34.26,3369205,NA
Argentina,arg,Amerika,1895-01-01,33.62,3967341,NA
Argentina,arg,Amerika,1900-01-01,37.22,4689224,NA
Argentina,arg,Amerika,1905-01-01,40.23,5641825,NA
Argentina,arg,Amerika,1910-01-01,44.17,6755700,NA
Argentina,arg,Amerika,1915-01-01,46.99,7739100,NA
Argentina,arg,Amerika,1920-01-01,51.16,8828805,NA
Argentina,arg,Amerika,1925-01-01,53.71,10209150,NA
Argentina,arg,Amerika,1930-01-01,55.55,11740751,NA
Argentina,arg,Amerika,1935-01-01,55.65,12902500,NA
Argentina,arg,Amerika,1940-01-01,60.68,14095334,NA
Argentina,arg,Amerika,1945-01-01,63.78,15492994,NA
Argentina,arg,Amerika,1950-01-01,63.3,17037910,NA
Argentina,arg,Amerika,1955-01-01,64.51,18789415,NA
Argentina,arg,Amerika,1960-01-01,65.26,20481781,7362.53406
Argentina,arg,Amerika,1965-01-01,66.13,22159644,8202.11255
Argentina,arg,Amerika,1970-01-01,66.13,23880564,9243.25658
Argentina,arg,Amerika,1975-01-01,68.03,25865775,9939.69662
Argentina,arg,Amerika,1980-01-01,70.23,27896532,10318.18299
Argentina,arg,Amerika,1985-01-01,71.73,30216284,9009.00173
Argentina,arg,Amerika,1990-01-01,72.47,32618648,8149.24062
Argentina,arg,Amerika,1995-01-01,73.44,34828168,10003.09169
Argentina,arg,Amerika,2000-01-01,74.22,36870796,10730.60822
Argentina,arg,Amerika,2005-01-01,75.28,38892924,11192.17958
Argentina,arg,Amerika,2010-01-01,75.94,40895751,13551.33919
Argentina,arg,Amerika,2015-01-01,76.5,43075416,13789.06042
Argentina,arg,Amerika,2019-01-01,76.58,44780675,12711.70519
Australia,aus,Oseania,1800-01-01,34.05,200000,NA
Australia,aus,Oseania,1805-01-01,34.05,227357,NA
Australia,aus,Oseania,1810-01-01,34.05,258627,NA
Australia,aus,Oseania,1815-01-01,34.05,294004,NA
Australia,aus,Oseania,1820-01-01,34.05,328728,NA
Australia,aus,Oseania,1825-01-01,34.05,331994,NA
Australia,aus,Oseania,1830-01-01,34.05,335111,NA
Australia,aus,Oseania,1835-01-01,34.05,372507,NA
Australia,aus,Oseania,1840-01-01,34.05,423526,NA
Australia,aus,Oseania,1845-01-01,34.05,504755,NA
Australia,aus,Oseania,1850-01-01,34.05,622584,NA
Australia,aus,Oseania,1855-01-01,34.05,900180,NA
Australia,aus,Oseania,1860-01-01,34.05,1288328,NA
Australia,aus,Oseania,1865-01-01,34.05,1530266,NA
Australia,aus,Oseania,1870-01-01,34.05,1759825,NA
Australia,aus,Oseania,1875-01-01,36.71,1964507,NA
Australia,aus,Oseania,1880-01-01,39.37,2201397,NA
Australia,aus,Oseania,1885-01-01,42.03,2595146,NA
Australia,aus,Oseania,1890-01-01,44.7,3051572,NA
Australia,aus,Oseania,1895-01-01,47.36,3375822,NA
Australia,aus,Oseania,1900-01-01,50.03,3693392,NA
Australia,aus,Oseania,1905-01-01,52.7,3996345,NA
Australia,aus,Oseania,1910-01-01,55.37,4329104,NA
Australia,aus,Oseania,1915-01-01,58.04,4772528,NA
Australia,aus,Oseania,1920-01-01,60.72,5274460,NA
Australia,aus,Oseania,1925-01-01,63.46,5800358,NA
Australia,aus,Oseania,1930-01-01,65.23,6332911,NA
Australia,aus,Oseania,1935-01-01,65.44,6647809,NA
Australia,aus,Oseania,1940-01-01,66.58,6968070,NA
Australia,aus,Oseania,1945-01-01,68.81,7516631,NA
Australia,aus,Oseania,1950-01-01,69.4,8177348,NA
Australia,aus,Oseania,1955-01-01,70.34,9165700,NA
Australia,aus,Oseania,1960-01-01,71.11,10242070,19967.91914
Australia,aus,Oseania,1965-01-01,71.1,11313186,22527.08827
Australia,aus,Oseania,1970-01-01,71.15,12793030,26915.35218
Australia,aus,Oseania,1975-01-01,72.51,13773290,28350.93536
Australia,aus,Oseania,1980-01-01,74.51,14588400,30817.75422
Australia,aus,Oseania,1985-01-01,75.59,15663672,33020.30471
Australia,aus,Oseania,1990-01-01,77,16960600,37003.99099
Australia,aus,Oseania,1995-01-01,78.29,17993083,39254.189659999996
Australia,aus,Oseania,2000-01-01,79.72,18991434,45683.31004
Australia,aus,Oseania,2005-01-01,81.24,20178543,50299.10077
Australia,aus,Oseania,2010-01-01,82.12,22154687,53604.9211
Australia,aus,Oseania,2015-01-01,82.73,23932499,56755.72171
Australia,aus,Oseania,2019-01-01,82.89,25203200,58923.20821
Austria,aut,Europa,1800-01-01,34.4,3000000,NA
Austria,aut,Europa,1805-01-01,34.4,3088277,NA
Austria,aut,Europa,1810-01-01,34.4,3179258,NA
Austria,aut,Europa,1815-01-01,34.4,3272809,NA
Austria,aut,Europa,1820-01-01,34.4,3367266,NA
Austria,aut,Europa,1825-01-01,34.4,3452549,NA
Austria,aut,Europa,1830-01-01,34.4,3538115,NA
Austria,aut,Europa,1835-01-01,34.4,3625995,NA
Austria,aut,Europa,1840-01-01,34.4,3718786,NA
Austria,aut,Europa,1845-01-01,34.4,3831357,NA
Austria,aut,Europa,1850-01-01,34.4,3952208,NA
Austria,aut,Europa,1855-01-01,34.4,4090598,NA
Austria,aut,Europa,1860-01-01,34.4,4234828,NA
Austria,aut,Europa,1865-01-01,34.4,4376588,NA
Austria,aut,Europa,1870-01-01,34.4,4528451,NA
Austria,aut,Europa,1875-01-01,34.67,4728390,NA
Austria,aut,Europa,1880-01-01,34.94,4943751,NA
Austria,aut,Europa,1885-01-01,35.91,5166298,NA
Austria,aut,Europa,1890-01-01,37.06,5403122,NA
Austria,aut,Europa,1895-01-01,39.16,5681471,NA
Austria,aut,Europa,1900-01-01,41.51,5979177,NA
Austria,aut,Europa,1905-01-01,41.33,6292428,NA
